time	rate	s1	s2	lambda1	lambda2	o11	ood	tf1_re	tf1_im	tf1_abs	tf2_re	tf2_im	tf2_abs
1.6	0.07069886788918342	0.9934986712584719	0.09135331913780464	0.9870396097923493	0.008345428917493585	0.9649521006129312	0.1948389723593875	-0.07897502179121119	-0.9554280245217698	0.9586864785259537	-0.00376096736887959	0.04178949247047509	0.04195839077573962
1.65	0.0816060740195279	0.9908484054137064	0.1246841313049166	0.9817805625108847	0.015546132599261683	0.9594430386429955	0.22416679390187338	-0.08344955987531766	-0.9470766000137086	0.9507459783438006	-0.014157788474099783	0.05274247412701323	0.05460962874362005
1.7	0.09712282974069694	0.985782783488847	0.1630333894416477	0.971767696223019	0.02657988607283196	0.9513530754018132	0.24706139638504884	-0.0876238672610884	-0.9339419261467243	0.9380434230505762	-0.026378377869213685	0.060410938311019916	0.06591889172785656
1.75	0.11712574551955776	0.9783283231625863	0.2044168982854358	0.957126307902118	0.041786268304638205	0.9406837884350299	0.26516800411440056	-0.09139705975397883	-0.9162068157182975	0.9207542298031189	-0.04275738303807679	0.06549249853278001	0.0782142005541897
1.8	0.1415032031575278	0.9685199679984827	0.24742322946223116	0.938030928411782	0.0612182544775199	0.9274324157635194	0.2803103436625923	-0.09467967739194183	-0.8941046070738754	0.8991036034305342	-0.06358664022374629	0.06891462295141904	0.0937682572701466
1.85	0.17016036799415643	0.9564016271555347	0.29113695556365543	0.9147040724257544	0.08476072689487388	0.911585638834698	0.29374632103854914	-0.09739071747889572	-0.8679309357826871	0.8733779600720785	-0.08884734033260668	0.07140333975850499	0.1139837129279729
1.9	0.20302427822293256	0.9420270952487545	0.3349579685692987	0.887415048182806	0.1121968407080713	0.8931091017175264	0.30630664174247363	-0.09946027493852438	-0.8380474833428775	0.8439288658578857	-0.11838647378061382	0.07345802937681402	0.13932494124934283
1.95	0.2400473701431056	0.9254616833868224	0.37846822114808054	0.8564793274171711	0.1432381944189924	0.8719289835729893	0.31862476614190816	-0.10083807198775185	-0.8048839439903436	0.8111759858721519	-0.1519600127036788	0.07543998701768544	0.16965564270642686
2.0	0.2812074689336648	0.906785229731803	0.4213513726397101	0.8222594528597587	0.17753697922536785	0.8478979609619044	0.3313210312085059	-0.1015079951319563	-0.7689367219648842	0.7756078619133582	-0.18923956481483778	0.07764284658624256	0.2045483427391285
2.05	0.3265022858270693	0.886097950694123	0.46334371239191074	0.7851695782243244	0.21468739581311772	0.8207285266661777	0.34517447615841823	-0.10150851269150185	-0.7307604672210347	0.7377769572180645	-0.2298030813662401	0.08032945723356667	0.24343844787719582
2.1	0.37593679024513066	0.8635326408176093	0.5041977273778567	0.7456886217574342	0.2542153482929955	0.7898528348820519	0.36135329878034633	-0.10095605536780916	-0.690946664195811	0.6982831931807802	-0.2731187826045551	0.08373832285296941	0.2856675972623118
2.15	0.4295023213453184	0.8392826594501993	0.5436402743010992	0.7043953824537992	0.2955447478421744	0.7541028593286496	0.38182281685491676	-0.10006278854277434	-0.6500842282135358	0.6577401199736447	-0.31853311068869816	0.08806221046943707	0.33048191405549243
